site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
bas_uele_i	bas_uele_i	bas_uele_i	DRC	COD	3.458419	25.674064				pre_treatment			
kasai_k	kasai_k	kasai_k	DRC	COD	-4.564153	20.183664				pre_treatment			
kwango_h	kwango_h	kwango_h	DRC	COD	-4.583721	16.988903				pre_treatment			
kasai_oriental_j	kasai_oriental_j	kasai_oriental_j	DRC	COD	-6.211002	23.393298				pre_treatment			
kinshasa_q	kinshasa_q	kinshasa_q	DRC	COD	-4.355323	15.233769				pre_treatment			
sud_kivu_g	sud_kivu_g	sud_kivu_g	DRC	COD	-2.863249	28.993137				pre_treatment			
haut_lomami_h	haut_lomami_h	haut_lomami_h	DRC	COD	-8.281321	25.259371				pre_treatment			
bas_uele_j	bas_uele_j	bas_uele_j	DRC	COD	4.584438	23.4288				pre_treatment			
tanganyka_k	tanganyka_k	tanganyka_k	DRC	COD	-6.978487	27.520086				pre_treatment			
mongala_h	mongala_h	mongala_h	DRC	COD	1.755036	21.45177				pre_treatment			
nord_kivu_g	nord_kivu_g	nord_kivu_g	DRC	COD	0.357718	29.348242				pre_treatment			
equateur_e	equateur_e	equateur_e	DRC	COD	-0.571292	20.104245				pre_treatment			
equateur_f	equateur_f	equateur_f	DRC	COD	1.461226	18.088536				pre_treatment			
haut_uele_h	haut_uele_h	haut_uele_h	DRC	COD	2.636267	27.112679				pre_treatment			
equateur_g	equateur_g	equateur_g	DRC	COD	1.296079	20.04612				pre_treatment			
kasai_central_n	kasai_central_n	kasai_central_n	DRC	COD	-5.818753	22.947632				pre_treatment			
tshopo_l	tshopo_l	tshopo_l	DRC	COD	0.136678	23.391155				pre_treatment			
kinshasa_r	kinshasa_r	kinshasa_r	DRC	COD	-4.377234	15.318822				pre_treatment			
bas_uele_k	bas_uele_k	bas_uele_k	DRC	COD	2.693045	23.107023				pre_treatment			
haut_lomami_i	haut_lomami_i	haut_lomami_i	DRC	COD	-8.024947	23.952161				pre_treatment			
nord_kivu_h	nord_kivu_h	nord_kivu_h	DRC	COD	0.693343	29.513774				pre_treatment			
kasai_central_o	kasai_central_o	kasai_central_o	DRC	COD	-5.135912	22.165826				pre_treatment			
nord_ubangi_l	nord_ubangi_l	nord_ubangi_l	DRC	COD	4.092481	22.509265				pre_treatment			
lualaba_g	lualaba_g	lualaba_g	DRC	COD	-9.807118	22.718182				pre_treatment			
kwilu_f	kwilu_f	kwilu_f	DRC	COD	-3.965333	18.881305				pre_treatment			
kongo_central_o	kongo_central_o	kongo_central_o	DRC	COD	-4.522841	14.100362				pre_treatment			
mai_ndombe_l	mai_ndombe_l	mai_ndombe_l	DRC	COD	-3.713009	16.745167				pre_treatment			
lualaba_h	lualaba_h	lualaba_h	DRC	COD	-10.468598	23.137961				pre_treatment			
nord_kivu_i	nord_kivu_i	nord_kivu_i	DRC	COD	-1.435962	29.365607				pre_treatment			
maniema_u	maniema_u	maniema_u	DRC	COD	-0.78796600000000006	26.4377				pre_treatment			
tshopo_m	tshopo_m	tshopo_m	DRC	COD	-0.381477	23.951311				pre_treatment			
kwilu_g	kwilu_g	kwilu_g	DRC	COD	-6.055202	19.048109				pre_treatment			
