site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
kilambo_health_center	kilambo_health_center	kilambo_health_center	Tanzania	TZA	-10.4955	40.3447			health_facility	Y			both
gairo_health_center	gairo_health_center	gairo_health_center	Tanzania	TZA	-6.1498	36.87718			health_facility	Y			both
ushetu_district_hospital	ushetu_district_hospital	ushetu_district_hospital	Tanzania	TZA	-4.12183	32.39091			health_facility	Y			both
kambarage_health_center	kambarage_health_center	kambarage_health_center	Tanzania	TZA	-3.66048	33.41391			health_facility	Y			both
shinyanga_district_hospital	shinyanga_district_hospital	shinyanga_district_hospital	Tanzania	TZA	-3.6	33.153			health_facility	Y			both
bunju_health_center	bunju_health_center	bunju_health_center	Tanzania	TZA	-6.62027	39.11057			health_facility	Y			both
matimbwa_health_center	matimbwa_health_center	matimbwa_health_center	Tanzania	TZA	-6.265655	38.395			health_facility	Y			both
jumbi_dispensary	jumbi_dispensary	jumbi_dispensary	Tanzania	TZA	-6.1949527	39.2858095			health_facility	Y			both
mwanyumba_dispensary	mwanyumba_dispensary	mwanyumba_dispensary	Tanzania	TZA	-4.83026	38.8603			health_facility	Y			both
chukwani	chukwani	chukwani	Tanzania	TZA	-6.228	39.21729			health_facility	Y			both
st_camiliusn_dipensary	st_camiliusn_dipensary	st_camiliusn_dipensary	Tanzania	TZA	-6.1919547	39.2271998			health_facility	Y			both
ndijani_baniani	ndijani_baniani	ndijani_baniani	Tanzania	TZA	-6.163175991	39.34947854			health_facility	Y			both
